codigo,nome,grupo,fornecedor,conversoes,medidas,observacoes,aplicacoes_json
"AL-2400","SENSOR DO FREIO ABS DIANTEIRO - LD/LE","SENSOR ABS","IMA","MAXAUTO
120539
RENAULT 
7700302428","COMPRIMENTO 495MM 
TIPO: HALL","POSIÇÃO DIANTEIRO  | LADO DIREITO/ESQUERDO","[{""veiculo"": ""MASTER"", ""ano"": ""2002 > 2004"", ""motor"": ""2.8 8V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}, {""veiculo"": ""MASTER"", ""ano"": ""2004 > 2012"", ""motor"": ""2.5 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"AL-117","TRIZETA (JUNTA TRIPÓIDE)","TRANSMISSÃO","IMA","ORIGINAL
RE003017 
ASH 
B04R117 
DEVIGILI 
DG90014 
GARMA 
1024 
IMA 
AL-117 
MOTORACO 
MA9014 
NAKATA 
NJH00-231T
NJH09-210T 
PERFECT 
TZP0306 
STOCK AIG 
JTS206.405 
VOLDA 
TR076
COFAP
TRC18002
IRB 
IR28311 
VETOR 
VT9014","Nº DE ESTRIAS 27 
Ø DO ANEL 34 MM","","[{""veiculo"": ""MASTER"", ""ano"": ""1992 > 2004"", ""motor"": ""2.8 8V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}, {""veiculo"": ""MASTER"", ""ano"": ""2003 > 2013"", ""motor"": ""2.5 8V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}, {""veiculo"": ""SPACE VAN"", ""ano"": ""1997/1998"", ""motor"": ""2.1 / 2.2"", ""conf_mtr"": """", ""montadora"": ""CHEVROLET""}, {""veiculo"": ""TRAFIC"", ""ano"": ""1992 > 1998"", ""motor"": ""2.2 8V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"AL-4012","TRIZETA (JUNTA TRIPÓIDE) MASTER 2.5 8V (2005 > 2012) Nº DE ESTRIAS 27","","IMA","COFAP TRC29001 DEVIGILI DG90099 | NAKATA NJH05082T | PERFECT TZP0613 VETOR VT9099","","LADO DIREITO / ESQUERDO Ø DO ANEL 37 MM","[]"
"AL-448","TRIZETA (JUNTA TRIPÓIDE) MASTER 2.3 16V - MANUAL (2013 > 2020) Nº DE ESTRIAS 27 Ø DO ANEL 43,65 MM","","IMA","COFAP TRC18009 | NAKATA NJH36675T | PERFECT TZP0607 VETOR VT9132","","","[]"
"AL-949","TRIZETA (JUNTA TRIPÓIDE)","TRANSMISSÃO","IMA","RENAULT
7701056151 
ASH
B04R949 
AUTHOMIX 
TZ61949 
COFAP
TRC18008 
DEVIGILI
DG90029 
GARMA
1026P 
IMA 
AL-949 
MOTORACO
MA9021 
NAKATA 
NJH01-576T 
PERFECT
TZP0611
VOLDA 
TR019 
VETOR
VT9029","Nº DE ESTRIAS 25 
Ø DO ANEL 37 MM","","[{""veiculo"": ""LAGUNA"", ""ano"": ""1994 > 2002"", ""motor"": ""2.0 8V"", ""conf_mtr"": ""LADO DIREITO"", ""montadora"": ""RENAULT""}, {""veiculo"": ""MASTER"", ""ano"": ""2002 > 2004"", ""motor"": ""2.8 8V"", ""conf_mtr"": ""LADO ESQUERDO"", ""montadora"": ""RENAULT""}, {""veiculo"": ""MASTER"", ""ano"": ""2003 > 2012"", ""motor"": ""2.5 8V"", ""conf_mtr"": ""LADO ESQUERDO"", ""montadora"": ""RENAULT""}, {""veiculo"": ""R21"", ""ano"": ""1992 > 1995"", ""motor"": ""2.0 8V"", ""conf_mtr"": ""LADO DIREITO"", ""montadora"": ""RENAULT""}, {""veiculo"": ""R21"", ""ano"": ""1992 > 1995"", ""motor"": ""2.2 8V"", ""conf_mtr"": ""LADO DIREITO"", ""montadora"": ""RENAULT""}, {""veiculo"": ""SCENIC"", ""ano"": ""1999 > 2009"", ""motor"": ""2.0 8V"", ""conf_mtr"": ""LADO DIREITO"", ""montadora"": ""RENAULT""}]"
"AL-1316","GARFO DA TULIPA (PLANETÁRIA) (TRIZETA AL-949)","TRANSMISSÃO","IMA","ORIGINAL
8200196615","","USA A TRIZETA TRIZETA AL-949","[{""veiculo"": ""MASTER"", ""ano"": ""2005 > 2013"", ""motor"": ""2.5 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}, {""veiculo"": ""MASTER"", ""ano"": ""2005 > 2013"", ""motor"": ""2.8 8V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"AL-1338","GARFO DA TULIPA - DIANTEIRO DIREITO COM TRIZETA","TRANSMISSÃO","IMA","NAKATA 
NJH00-231D","N° ESTRIAS INTERNA 27 
N° ESTRIAS EXTERNA 39 
COMPRIMENTO 522,5 MM","POSIÇÃO DIANTEIRO | LADO DIREITO","[{""veiculo"": ""MASTER"", ""ano"": ""2002 > 2004"", ""motor"": ""2.8 8V"", ""conf_mtr"": ""MANUAL"", ""montadora"": ""RENAULT""}]"
"AL-1339","GARFO DA TULIPA - DIANTEIRO DIREITO COM TRIZETA","TRANSMISSÃO","IMA","NAKATA 
NJH03-895D","N° ESTRIAS INTERNA 27 
N° ESTRIAS EXTERNA 39 
COMPRIMENTO 519 MM","POSIÇÃO DIANTEIRO | LADO DIREITO","[{""veiculo"": ""MASTER"", ""ano"": ""2004 > 2012"", ""motor"": ""2.5 16V"", ""conf_mtr"": ""MANUAL"", ""montadora"": ""RENAULT""}]"
"AL-1365","GARFO DA TULIPA - DIANTEIRO DIREITO COM TRIZETA","TRANSMISSÃO","IMA","AUTOSTAR
ACT05001
DEVIGILI 
DG80572
NAKATA 
NJH37-176D 
VETOR 
VT5669","N° ESTRIAS INTERNA 27 
N° ESTRIAS EXTERNA 39
COMPRIMENTO 451 MM","POSIÇÃO DIANTEIRO | LADO DIREITO","[{""veiculo"": ""MASTER"", ""ano"": ""2013/..."", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"AL-1366","GARFO DA TULIPA - DIANTEIRO ESQUERDO COM TRIZETA","TRANSMISSÃO","IMA","NAKATA
NJH36-675D","N° ESTRIAS INTERNA 27 
N° ESTRIAS EXTERNA 39 
COMPRIMENTO 183 MM","POSIÇÃO DIANTEIRO | LADO ESQUERDO","[{""veiculo"": ""MASTER"", ""ano"": ""2013/..."", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"AL-1373","GARFO DA TULIPA - DIANTEIRO DIREITO COM TRIZETA MASTER 2.5 16V (2012 > 2013)","TRANSMISSÃO","IMA","","","POSIÇÃO DIANTEIRO N° ESTRIAS INTERNA 27 N° ESTRIAS EXTERNA 39 COMPRIMENTO 564 MM | LADO DIREITO DEVIGILI DG80576 VETOR VT5675 SEAT","[]"
